키워드,검색수PC,검색수M,클릭수PC,클릭수M,클릭률PC,클릭률M,광고수,경쟁정도
사물인터넷교육,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
스마트제조,190,80,10,높음,0.6,1.2,0.32,1.4
스마트팜제작,10,< 10,7,높음,0.7,1.1,7.15,13.34
스마트팜지원,30,50,10,높음,0.5,3.0,1.57,5.77
안산코딩학원,110,90,10,높음,0.0,1.1,0.0,1.19
인공지능전문가,70,100,10,높음,0.0,1.6,0.0,1.57
컴퓨터보안,140,60,7,높음,0.1,0.4,0.11,0.63
컴퓨터언어,70,240,10,높음,0.2,2.0,0.26,0.88
코딩독학,100,170,10,높음,0.3,1.6,0.31,0.99
R프로그램,250,150,10,높음,0.2,1.0,0.09,0.68
C#교육,10,< 10,7,높음,0.4,0.0,2.53,0.0
과정평가형정보처리산업기사,30,< 10,7,높음,0.1,0.0,0.45,0.0
자바스크립트국비지원,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
리눅스,2200,3060,10,높음,1.9,5.2,0.09,0.18
ADSP교재,560,780,10,높음,2.7,5.3,0.5,0.71
IT온라인강의,30,10,7,높음,0.6,1.0,1.85,5.89
SWIFT,1300,3390,2,낮음,0.0,1.3,0.0,0.05
오즈코딩스쿨,760,790,1,중간,0.0,5.0,0.0,0.68
C#인강,< 10,< 10,7,높음,0.7,0.3,11.91,6.25
조경기능사인강,40,40,10,높음,1.9,4.0,4.53,9.1
조경학원,70,250,10,높음,2.4,14.4,3.39,5.83
ADSP책,1520,4850,10,높음,6.3,41.8,0.43,0.9
코딩내일배움,< 10,< 10,7,높음,0.1,0.0,7.15,0.0
C언어강의,60,50,10,높음,0.5,1.6,0.74,3.34
온라인코딩파티,620,210,4,중간,11.7,7.2,1.97,3.63
프론트엔드독학,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
C++강의,30,10,7,높음,0.1,0.3,0.44,1.67
JAVA강의,20,20,7,높음,0.3,0.0,1.15,0.0
프로그래밍,510,960,10,높음,0.0,1.4,0.0,0.16
정보처리기능사인강,20,30,10,높음,0.8,1.5,3.08,4.69
정보처리기능사필기,200,420,10,높음,0.4,1.5,0.22,0.36
웹퍼블리셔,270,390,10,높음,0.8,4.0,0.3,1.05
조경기능사실기,650,1430,10,높음,6.6,19.2,1.05,1.49
R프로그래밍기초,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
조경기능사시험일정,1390,4350,10,높음,7.8,65.8,0.58,1.61
프론트개발,30,40,7,높음,0.3,0.0,0.76,0.0
조경기능사학원,270,850,10,높음,6.3,39.6,2.38,5.03
KGIT센터,220,580,6,중간,0.0,3.2,0.0,0.57
HTMLCSS,110,120,7,높음,0.0,0.8,0.0,0.67
JAVASPRING,20,20,3,높음,0.0,0.0,0.0,0.0
SQL개발자자격증,90,90,7,높음,0.0,0.6,0.0,0.65
국민지원취업제도,250,1250,7,높음,0.1,8.9,0.06,0.74
디지털드로잉기초,20,70,3,높음,0.0,0.7,0.0,0.91
오토캐드도면설계,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
SPSS강의,70,40,7,높음,0.7,3.8,0.93,9.38
프로그래밍인강,< 10,10,7,높음,0.0,0.0,0.0,0.0
AI개발자,290,680,10,높음,1.0,9.6,0.36,1.46
국비지원부트캠프,150,210,10,높음,5.0,15.4,3.45,7.52
UXUI디자인,870,2870,10,높음,2.2,21.8,0.26,0.81
유니티강좌,20,10,7,높음,0.7,0.2,3.11,1.89
조경기능사필기,760,1950,10,높음,4.9,25.0,0.66,1.36
C++기초,30,30,7,높음,0.0,0.3,0.0,0.81
백엔드프론트엔드,50,40,6,중간,0.0,0.0,0.0,0.0
웹개발자,130,290,10,높음,0.0,1.8,0.0,0.63
ADSP공부,110,90,7,높음,0.1,0.8,0.13,0.81
SQLD온라인강의,< 10,< 10,7,높음,0.1,0.0,4.77,0.0
SQLD자격증강의,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
SQL부트캠프,20,20,7,높음,0.4,0.8,2.05,3.27
고객데이터분석,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
그로스마케팅부트캠프,20,20,6,중간,1.4,1.3,5.93,4.68
대시보드디자인,40,20,7,높음,0.3,0.5,0.7,2.64
데이터분석가채용,170,270,7,높음,0.6,0.8,0.35,0.31
데이터분석실무,< 10,20,7,높음,0.0,1.3,0.0,5.96
데이터분석프로그램,30,30,7,높음,0.4,0.0,1.34,0.0
데이터전처리,170,100,10,높음,0.1,0.3,0.07,0.26
부동산데이터분석,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
C언어공부,40,70,7,높음,0.1,0.5,0.32,0.73
C언어시험,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
C프로그래밍기초,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
C++강좌,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
아이티자격증,< 10,10,7,높음,0.0,0.0,0.0,0.0
자바스크립트강의,20,10,7,높음,0.4,1.0,2.39,9.44
IT기초,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
고졸개발자,< 10,30,7,높음,0.0,0.3,0.0,0.79
기획,1570,2360,10,높음,0.2,3.0,0.02,0.14
대학생대외활동,580,840,10,높음,0.6,3.5,0.11,0.45
리액트강의,20,20,7,높음,0.0,0.2,0.0,0.92
멀티미디어콘텐츠제작전문가,880,670,10,높음,1.1,2.2,0.13,0.36
백엔드포트폴리오,10,10,7,높음,0.1,0.0,0.9,0.0
알고리즘강의,10,10,7,높음,0.0,0.3,0.0,1.57
알고리즘공부,30,20,4,중간,0.0,0.0,0.0,0.0
웹서비스기획,< 10,< 10,7,높음,0.1,0.0,1.59,0.0
웹싸이트,< 10,< 10,7,높음,0.1,0.0,3.58,0.0
일본IT취업,200,350,10,높음,1.1,4.7,0.56,1.38
자바의정석,140,140,7,높음,0.1,0.6,0.12,0.44
정보처리기능사실기,310,510,10,높음,0.3,1.3,0.1,0.26
정보처리기사시험일정,7060,9210,10,높음,3.4,12.6,0.05,0.15
컴퓨터그래픽스운용기능사,1160,830,10,높음,0.9,3.9,0.08,0.5
코딩테스트강의,20,20,7,높음,0.0,0.3,0.0,1.34
코딩테스트준비,30,20,7,높음,0.0,0.0,0.0,0.0
퍼블리싱강의,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
웹서버,120,100,10,높음,0.2,0.2,0.17,0.26
웹페이지,180,250,10,높음,1.0,2.6,0.57,1.1
AWS클라우드,120,70,10,높음,0.0,0.3,0.0,0.4
HTML소스,30,< 10,3,높음,0.0,0.0,0.0,0.0
임베디드시스템,530,1020,10,높음,0.4,2.8,0.08,0.29
퍼포먼스마케팅부트캠프,70,60,7,높음,2.2,3.6,3.18,5.63
클라우드엔지니어부트캠프,20,20,7,높음,0.7,1.8,3.11,8.58
C프로그래밍강의,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
C언어인강추천,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
마케팅부트캠프,290,470,10,높음,7.5,18.2,2.63,3.96
C++공부,20,10,7,높음,0.0,0.0,0.0,0.0
C++배우기,20,20,4,중간,0.0,0.3,0.0,1.3
C++프로젝트,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
개발자온라인교육,< 10,< 10,7,높음,0.1,0.0,7.15,0.0
웹개발강의,< 10,< 10,7,높음,0.1,0.2,3.58,4.17
JAVA온라인강의,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
NCS교육,170,130,10,높음,1.0,0.8,0.59,0.64
중장년일자리,510,980,10,높음,4.7,12.8,0.94,1.36
백엔드독학,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
데이터엔지니어부트캠프,30,70,7,높음,0.6,2.3,1.79,3.36
HTML인강,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
RSTUDIO,730,230,9,높음,1.6,1.3,0.24,0.58
웹개발,240,230,10,높음,4.1,3.4,1.73,1.51
R프로그래밍,100,130,7,높음,0.0,1.0,0.0,0.83
정보보안국비,20,40,10,높음,0.6,4.8,3.0,10.44
프론트엔드부트캠프,40,80,10,높음,0.9,3.0,1.92,3.9
KG그룹,2330,5540,2,중간,1.8,2.1,0.12,0.08
PPT교육,60,40,10,높음,1.5,2.3,2.39,5.63
C++온라인강의,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
C++책,30,40,3,높음,0.3,0.3,1.08,0.69
혼자공부하는파이썬,240,380,9,높음,1.2,10.3,0.5,2.82
AI프로그램,1790,1530,10,높음,5.1,12.2,0.3,0.85
백앤드,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
IT국비교육,30,< 10,10,높음,0.3,0.0,0.84,0.0
퍼포먼스마케터,470,690,10,높음,1.3,2.0,0.29,0.32
오프라인부트캠프,10,10,7,높음,0.6,1.8,4.77,10.94
딥러닝교육,20,10,7,높음,0.1,0.4,0.6,2.67
사물인터넷전문가,10,20,10,높음,0.1,0.0,0.59,0.0
AI부트캠프,520,560,10,높음,9.2,21.4,1.79,4.07
개발자되는법,20,20,7,높음,0.1,0.0,0.69,0.0
SQLD자격증,2350,5280,10,높음,2.1,14.0,0.1,0.28
ITQ시험일정,2650,6700,10,높음,2.1,20.0,0.09,0.32
ITQ자격증,15400,33500,10,높음,19.2,116.2,0.13,0.36
IT개발,20,40,7,높음,0.3,0.0,1.15,0.0
IT개발자학원,< 10,< 10,7,높음,0.1,0.0,3.58,0.0
IT융합학과,80,530,10,높음,0.0,0.5,0.0,0.11
개발자프로젝트,< 10,20,7,높음,0.0,0.0,0.0,0.0
내일배움카드개발,< 10,< 10,7,높음,0.1,0.0,4.77,0.0
부트캠프모음,20,20,3,높음,0.0,0.0,0.0,0.0
부트캠프취업,110,410,7,높음,0.4,9.6,0.38,2.45
부트캠프학원,10,20,7,높음,0.0,0.0,0.0,0.0
취업연계부트캠프,10,30,7,높음,0.3,1.9,1.69,5.93
SQLD자격증인강,< 10,< 10,7,높음,0.3,0.0,4.77,0.0
마케팅공부,90,160,10,높음,0.2,3.8,0.22,2.39
자바스크립트학원,20,20,7,높음,0.7,2.0,2.56,6.77
정원설계,30,30,10,높음,1.4,1.5,5.6,4.55
내일배움카드재경관리사,40,90,10,높음,0.2,0.3,0.48,0.3
앱개발자,90,160,10,높음,0.2,2.6,0.23,1.58
국비지원마케팅,30,70,10,높음,0.7,1.7,1.8,2.41
마케팅포트폴리오,440,310,10,높음,0.6,1.5,0.15,0.51
IOS부트캠프,< 10,< 10,7,높음,0.1,1.1,3.58,13.34
그로스마케터,190,220,10,높음,0.8,0.5,0.43,0.24
프론트엔드,680,880,10,높음,0.0,0.9,0.0,0.11
통계분석,190,130,10,높음,2.6,1.4,1.34,1.08
채용연계교육,< 10,10,7,높음,0.0,0.3,0.0,1.5
자바컴퓨터학원,30,< 10,6,중간,0.0,0.6,0.0,28.58
OCJP,70,40,3,높음,0.0,0.0,0.0,0.0
R프로그래밍인강,< 10,< 10,7,높음,0.3,0.3,9.53,12.5
WPF강좌,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
광주코딩교육,< 10,< 10,0,낮음,0.0,0.0,0.0,0.0
광주파이썬,< 10,< 10,7,높음,0.0,0.3,0.0,4.17
머신러닝배우기,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
수원파이썬,10,20,7,높음,0.6,3.0,5.2,13.64
울산파이썬,< 10,10,7,높음,0.0,1.0,0.0,6.25
전주코딩교육,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
전주파이썬,< 10,< 10,7,높음,0.1,0.0,4.77,0.0
국비지원코딩학원,40,10,7,높음,0.3,0.0,0.72,0.0
리액트네이티브,80,80,7,높음,0.1,0.5,0.18,0.64
마케터취업,20,50,7,높음,0.1,0.8,0.52,1.5
PM자격증,40,50,10,높음,0.2,0.8,0.49,1.54
앱개발,580,1520,10,높음,11.9,15.6,2.13,1.09
SPRINGBOOT,240,100,3,높음,0.0,0.0,0.0,0.0
자바개발,< 10,10,7,높음,0.0,0.0,0.0,0.0
자바개발자교육,20,< 10,7,높음,0.0,0.0,0.0,0.0
PM부트캠프,130,190,10,높음,4.4,10.6,3.34,5.93
R배우기,< 10,< 10,7,높음,0.1,0.0,1.79,0.0
R언어,120,190,10,높음,0.3,0.8,0.25,0.4
SQL스터디,< 10,< 10,7,높음,0.1,0.0,2.86,0.0
데이터리터러시,390,270,10,높음,0.1,0.5,0.03,0.19
C#강좌,< 10,< 10,7,높음,0.1,0.0,4.77,0.0
PHP코딩,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
PHP프로그래밍,< 10,< 10,0,낮음,0.0,0.0,0.0,0.0
라즈베리파이개발,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
매크로코딩,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
매크로프로그래밍,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
알고리즘개발,< 10,< 10,7,높음,0.0,0.3,0.0,2.78
SQLD시험,430,410,7,높음,0.4,0.8,0.11,0.2
코딩국비,< 10,10,7,높음,0.0,1.0,0.0,6.67
대구동구컴퓨터학원,10,50,7,높음,0.2,1.3,1.25,2.5
클라우드부트캠프,100,100,10,높음,1.5,3.8,1.46,3.84
R학원,< 10,< 10,7,높음,0.1,0.3,2.86,8.34
펌웨어교육,10,< 10,7,높음,0.9,0.0,7.15,0.0
SQLD독학,1050,1800,10,높음,0.4,1.8,0.04,0.11
IT취업,80,120,10,높음,0.2,1.0,0.25,0.82
GA4,1190,650,10,높음,2.7,2.0,0.23,0.31
퍼포먼스마케팅교육,20,10,10,높음,0.5,0.8,1.93,4.42
부트텐트,1180,990,7,높음,4.2,6.7,0.38,0.73
JAVA인강,< 10,< 10,7,높음,0.1,0.5,2.86,8.34
사물인터넷자격증,< 10,< 10,7,높음,0.1,0.0,2.39,0.0
백앤드개발,< 10,< 10,7,높음,0.1,0.3,1.59,6.25
SQL강의추천,20,10,7,높음,0.0,0.3,0.0,2.28
퍼블리싱,860,840,10,높음,0.7,1.8,0.09,0.23
클라우드교육,70,80,10,높음,0.9,0.8,1.29,0.99
AWS부트캠프,30,40,7,높음,0.6,1.0,1.85,2.49
자바국비학원,20,20,7,높음,0.0,0.0,0.0,0.0
GA4강의,30,20,10,높음,0.9,2.5,2.95,8.93
AI강의,1120,1360,10,높음,12.7,26.6,1.17,2.05
풀스택개발자,190,210,10,높음,1.4,1.6,0.72,0.82
조경기능사기출문제,500,600,10,높음,4.2,8.6,0.85,1.47
AWS,7040,5520,10,높음,2.9,11.0,0.05,0.21
풀스택개발자교육,< 10,< 10,0,낮음,0.0,0.0,0.0,0.0
CBT,66800,55400,5,중간,42.0,116.0,0.07,0.22
코딩수업,110,320,10,높음,0.7,2.6,0.65,0.85
유니티국비지원,10,< 10,7,높음,0.6,0.0,4.77,0.0
C#,410,430,10,높음,0.5,2.3,0.13,0.56
조경관련자격증,110,160,7,높음,0.6,4.3,0.52,2.82
조경기능사국비지원,10,< 10,6,중간,0.0,0.0,0.0,0.0
조경기능사내일배움카드,20,30,7,높음,1.4,0.8,7.94,2.68
조경배우기,< 10,10,0,낮음,0.0,0.0,0.0,0.0
조경산업기사실기학원,10,< 10,7,높음,0.1,0.3,1.43,2.78
블록체인교육,10,20,7,높음,0.6,0.5,3.58,2.18
IT국비,20,< 10,7,높음,1.1,1.0,6.02,12.5
AI개발교육,10,10,10,높음,0.3,1.9,1.88,10.0
PM국비지원,< 10,< 10,7,높음,0.3,0.8,3.71,8.83
국비지원IT,30,40,10,높음,0.5,0.2,1.36,0.44
R,8250,15300,3,중간,2.0,17.6,0.03,0.13
PM교육,70,40,10,높음,2.3,2.6,3.11,6.2
자바교육,50,20,7,높음,0.1,1.0,0.26,3.71
ADP학원,< 10,< 10,7,높음,0.1,0.5,4.77,5.56
공정데이터분석,< 10,< 10,3,높음,0.0,0.3,0.0,7.7
데이터경영,< 10,20,5,중간,0.0,0.3,0.0,1.24
PM강의,30,10,7,높음,2.1,1.5,7.66,8.83
데이터자격증,580,880,10,높음,0.3,0.5,0.06,0.06
화상과외,190,750,10,높음,3.1,30.0,1.63,4.21
전액국비지원,10,20,10,높음,0.1,1.0,0.59,4.55
프로그래밍배우기,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
마케팅관련자격증,190,340,10,높음,0.9,1.3,0.48,0.39
데이터분석수업,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
ADP실기,80,100,7,높음,0.1,0.8,0.17,0.79
정보처리산업기사과정평가,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
데이터엔지니어,200,330,10,높음,0.8,1.6,0.41,0.51
데이터사이언스대학원,130,220,9,높음,0.1,3.3,0.09,1.51
국비개발자,10,10,7,높음,0.1,0.0,1.43,0.0
C,4560,15000,6,중간,2.1,20.3,0.05,0.15
디지털마케팅,430,440,10,높음,2.5,2.6,0.59,0.62
SQLP인강,10,10,7,높음,0.1,0.3,1.43,1.39
C언어자격증,60,180,10,높음,0.0,1.1,0.0,0.68
AI코딩,610,1060,10,높음,2.1,11.2,0.36,1.13
풀스택개발자국비지원,20,< 10,7,높음,0.0,0.8,0.0,75.0
NODEJS,540,90,6,중간,0.0,0.0,0.0,0.0
노드JS,120,30,3,높음,0.0,0.0,0.0,0.0
자바스프링,60,130,10,높음,0.2,0.3,0.35,0.2
C언어책,80,240,10,높음,0.1,1.0,0.13,0.43
데이터분석가국비,< 10,< 10,7,높음,0.3,0.0,28.58,0.0
AI엔지니어,240,470,7,높음,2.4,9.6,1.02,2.16
자바스크립트강좌,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
IT무료교육,< 10,< 10,7,높음,0.1,0.3,1.79,6.25
국비지원카드,1270,4380,10,높음,1.5,16.4,0.13,0.4
내일배움카드IT,< 10,10,7,높음,0.0,0.5,0.0,3.13
부산IT국비,< 10,< 10,0,낮음,0.0,0.0,0.0,0.0
챗GPT,2008200,2478300,7,높음,141.6,563.4,0.01,0.03
챗지피티,3145200,5818300,7,높음,189.1,1391.5,0.01,0.03
SQL실무,50,50,7,높음,0.3,0.8,0.5,1.39
C#프로그래밍입문,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
JAVA자격증,40,60,7,높음,0.0,1.3,0.0,1.87
빅데이터마케팅,10,10,7,높음,0.1,0.0,1.03,0.0
퍼포먼스마케팅강의,30,30,10,높음,0.7,1.3,2.19,3.93
개발자인강,< 10,10,7,높음,0.0,0.0,0.0,0.0
개발국비지원,< 10,< 10,7,높음,0.1,0.3,3.58,5.0
구글애널리틱스자격증,850,880,10,높음,0.5,0.8,0.07,0.09
조경산업기사실기,120,250,10,높음,0.6,6.6,0.51,2.75
KOTLIN,200,100,4,중간,0.2,0.3,0.12,0.25
RUST강의,< 10,< 10,0,낮음,0.0,0.0,0.0,0.0
웹개발인강,< 10,< 10,7,높음,0.1,0.0,4.77,0.0
재테크강좌,< 10,20,7,높음,0.0,0.0,0.0,0.0
딥러닝,1560,2030,10,높음,1.1,3.0,0.08,0.16
구글애널리틱스교육,10,< 10,7,높음,0.4,0.0,2.39,0.0
리액트스터디,< 10,< 10,1,낮음,0.0,0.0,0.0,0.0
SQL기초,40,20,7,높음,0.6,0.0,1.43,0.0
아두이노교육,40,30,7,높음,0.4,1.0,0.96,3.34
임베디드강의,< 10,< 10,7,높음,0.0,0.3,0.0,2.78
임베디드소프트웨어,70,60,10,높음,0.0,0.0,0.0,0.0
임베디드시스템교육,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
임베디드학원,40,20,7,높음,1.7,3.0,3.73,11.28
웹,690,2920,10,높음,0.7,7.7,0.11,0.29
TABLEAU강의,10,< 10,7,높음,0.1,0.3,0.96,5.0
정보관리기술사,1560,2650,10,높음,12.6,31.8,0.84,1.28
KALILINUX,70,20,2,중간,0.0,0.0,0.0,0.0
SW교육,90,250,10,높음,0.2,0.3,0.23,0.1
국비지원SQL,< 10,< 10,7,높음,0.0,0.5,0.0,6.25
마케팅스쿨,20,30,7,높음,0.4,0.5,1.95,1.64
온라인코딩교육,< 10,30,7,높음,0.0,0.8,0.0,2.28
C언어강좌,20,20,7,높음,0.0,0.0,0.0,0.0
풀스택교육,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
정보보안국비지원,20,10,7,높음,0.7,0.3,2.86,3.58
R데이터분석,20,< 10,7,높음,0.0,0.0,0.0,0.0
데이터사이언스부트캠프,10,20,6,중간,0.0,0.0,0.0,0.0
프로그래밍사이트,10,10,7,높음,0.1,0.0,1.2,0.0
데이터시각화교육,10,< 10,7,높음,0.1,0.0,1.43,0.0
C++자료구조,10,< 10,3,중간,0.0,0.0,0.0,0.0
JAVA교육,30,20,10,높음,0.0,0.0,0.0,0.0
마케팅내일배움카드,< 10,< 10,7,높음,0.0,0.3,0.0,2.95
출판취업,< 10,10,3,높음,0.0,0.0,0.0,0.0
POWERBI학원,< 10,< 10,7,높음,0.0,0.6,0.0,6.9
자바부트캠프,50,80,7,높음,0.9,1.2,1.65,1.47
C++인강,< 10,< 10,7,높음,0.1,0.0,2.39,0.0
고용노동부직업훈련,160,330,10,높음,0.3,6.6,0.2,2.05
SQL공부,90,90,10,높음,0.7,0.2,0.79,0.22
직업교육,820,820,10,높음,2.1,8.2,0.27,1.05
클라우드국비지원,80,10,10,높음,1.0,1.0,1.18,5.56
프론트엔드개발자,220,430,10,높음,0.6,2.0,0.28,0.49
IT부트캠프,80,110,10,높음,1.5,6.0,1.79,5.41
정보처리기사자격증학원,10,10,7,높음,0.6,1.3,4.77,7.82
CRM강의,< 10,< 10,7,높음,0.6,1.3,8.17,15.63
웹디자인국비지원,90,250,10,높음,1.9,10.6,2.07,4.4
조경기능사실기학원,170,420,10,높음,3.4,14.3,2.04,3.8
자바배우기,< 10,10,7,높음,0.0,0.3,0.0,2.5
대구국비지원컴퓨터학원,20,70,10,높음,1.0,4.0,5.0,5.64
정보보안,610,510,10,높음,0.9,2.6,0.16,0.54
AI전문가,210,310,10,높음,1.2,2.6,0.58,0.87
머신러닝학원,< 10,< 10,7,높음,0.4,0.6,5.36,10.0
빅데이터강의,< 10,10,7,높음,0.1,0.5,2.05,3.58
빅데이터국비,< 10,< 10,0,낮음,0.0,1.0,0.0,11.12
자바스크립트배우기,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
CCNA,780,610,10,높음,1.9,3.2,0.25,0.57
개발학원,10,50,7,높음,0.1,1.8,1.03,3.28
광고마케팅,360,610,10,높음,8.2,12.2,2.31,2.1
과정평가형국가기술자격,50,40,7,높음,1.0,0.5,1.89,1.39
NODE.JS,1460,220,10,높음,0.4,0.3,0.03,0.12
C#학원,10,10,7,높음,0.4,0.4,3.07,4.0
R통계,50,50,7,높음,0.1,0.0,0.26,0.0
AI무료교육,350,390,10,높음,9.5,23.0,2.76,6.36
AI빅데이터,50,70,10,높음,0.5,0.4,0.87,0.58
SQLD강의,110,120,10,높음,3.6,7.2,3.19,6.06
데이터아키텍처전문가,110,160,7,높음,0.0,0.0,0.0,0.0
나무의사,3220,7220,10,높음,31.3,77.8,1.0,1.15
식물보호산업기사,1730,3440,10,높음,19.6,48.8,1.19,1.5
로봇교육,110,230,10,높음,2.6,5.6,2.29,2.63
풀스택강의,< 10,20,7,높음,0.1,0.3,7.15,1.2
리액트학원,10,20,7,높음,0.4,0.0,3.07,0.0
백엔드학원,50,40,10,높음,0.6,0.8,1.12,2.0
GA4자격증,720,790,7,높음,0.6,1.8,0.09,0.24
데이터시각화,230,190,10,높음,0.1,0.5,0.05,0.25
국비부트캠프,50,60,7,높음,0.3,3.6,0.53,6.43
SQLD기출문제,180,170,7,높음,0.1,0.5,0.09,0.3
파워쿼리,730,400,3,높음,0.3,0.3,0.05,0.09
SQL강의,110,70,10,높음,0.6,3.0,0.54,4.55
ADSP공부방법,150,180,3,높음,0.0,0.0,0.0,0.0
CISA강의,10,20,7,높음,1.0,0.5,9.1,2.78
CISA시험,20,10,7,높음,0.3,0.0,1.37,0.0
COS시험,80,70,3,높음,0.0,0.0,0.0,0.0
딥러닝부트캠프,10,< 10,7,높음,0.3,0.3,1.91,4.55
PM취업,10,10,7,높음,0.9,0.3,5.36,1.73
데이터분석가강의,< 10,< 10,7,높음,0.1,0.3,1.79,12.5
C언어배우기,< 10,20,7,높음,0.4,0.3,6.13,1.05
대구조경,70,90,10,높음,0.4,2.8,0.59,3.24
디지털마케팅교육,20,10,10,높음,0.4,0.0,1.54,0.0
백엔드개발자연봉,40,140,7,높음,0.0,0.5,0.0,0.41
구글자격증,150,220,7,높음,0.1,0.0,0.1,0.0
내일배움마케팅,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
루커스튜디오,630,210,6,중간,1.3,1.5,0.21,0.71
루커스튜디오강의,10,< 10,2,중간,0.0,0.0,0.0,0.0
마케터자격증,230,510,10,높음,1.3,4.6,0.57,0.95
마케터취업준비,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
마케팅온라인교육,< 10,< 10,7,높음,0.7,0.5,7.94,7.7
퍼포먼스마케팅공부,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
퍼포먼스마케팅실무,< 10,< 10,7,높음,0.0,0.3,0.0,5.0
무료CAD,110,30,10,높음,3.0,1.2,2.71,3.25
인벤터교육,50,20,7,높음,1.3,0.8,2.26,3.08
데이타마이닝,10,10,7,높음,0.0,0.0,0.0,0.0
데이터공부,10,20,3,높음,0.0,0.3,0.0,1.52
데이터과학,90,240,10,높음,0.0,0.3,0.0,0.11
데이터통계,30,20,7,높음,0.0,0.0,0.0,0.0
SNS마케팅,440,400,10,높음,9.0,5.6,2.06,1.49
경기도스마트팜,20,20,3,높음,0.0,1.3,0.0,4.6
펌웨어학원,10,10,3,중간,0.0,1.1,0.0,10.72
C언어프로그래밍,20,40,3,높음,0.0,0.3,0.0,0.82
내일배움카드프론트엔드,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
개발자교육,60,40,10,높음,0.6,2.2,0.99,4.49
백엔드부트캠프,90,110,10,높음,1.0,6.6,1.1,5.74
소프트웨어개발,130,100,10,높음,2.3,1.6,1.73,1.6
코딩캠프,20,70,7,높음,0.1,0.8,0.72,1.33
풀스택개발자부트캠프,< 10,< 10,7,높음,0.0,0.5,0.0,25.0
대구산림기능사,10,10,3,중간,0.3,0.7,2.28,5.13
대구조경기사학원,10,10,3,중간,1.2,1.5,10.82,8.89
자연생태복원기사,730,1080,10,높음,3.6,8.6,0.51,0.84
조경기능사자격증,80,160,10,높음,0.3,3.4,0.38,2.32
조경기사시험,50,80,7,높음,0.0,0.0,0.0,0.0
조경기사실기학원,60,100,7,높음,1.3,2.0,2.11,2.07
조경기사응시자격,530,790,10,높음,2.5,17.6,0.49,2.37
조경기사필기,420,820,10,높음,4.0,15.0,0.98,1.89
VB.NET,20,10,1,중간,0.0,0.0,0.0,0.0
마케팅학원,100,200,10,높음,2.1,11.4,2.02,5.94
부트캠프개발자,< 10,10,5,중간,0.0,0.0,0.0,0.0
마케팅국비,10,30,7,높음,0.4,3.6,4.29,10.6
고용노동부내일배움카드,1510,2580,10,높음,3.4,24.6,0.24,1.0
백엔드개발학원,< 10,< 10,7,높음,0.1,0.0,4.77,0.0
SQLD국비지원,10,10,7,높음,0.3,0.8,2.86,8.34
C++학원,40,20,7,높음,1.1,0.4,2.73,1.67
개발부트캠프,60,50,10,높음,2.0,2.6,3.34,5.2
프로그래밍온라인강의,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
IT온라인교육,10,< 10,7,높음,0.0,0.0,0.0,0.0
조경기사,2310,3350,10,높음,20.5,39.0,0.92,1.24
SQL독학,10,< 10,7,높음,0.0,0.0,0.0,0.0
개발인강,< 10,< 10,7,높음,0.1,0.0,2.86,0.0
AI수업,200,410,10,높음,2.9,7.6,1.49,1.96
CSS,800,850,10,높음,0.1,1.8,0.02,0.22
